Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2013,La Liga,Athletic Club,Ander Herrera Athletic Club/25/M(CLR) ,Ander Herrera,24,M(CLR) ,182,70,31(2),33,31,2,2593,5,5,7,-,2.1,80.7,1,3,7.41
2013,La Liga,Athletic Club,Aritz Aduriz Athletic Club/33/FW ,Aritz Aduriz,32,FW ,182,78,26(5),31,26,5,2422,16,7,6,2,2.7,61.5,5.6,7,7.36
2013,La Liga,Athletic Club,Carlos Gurpegi Athletic Club/34/D(C)^M(CR) ,Carlos Gurpegi,33,D(C)^M(CR) ,181,75,27,27,27,0,2386,2,-,8,-,0.3,82.8,2.9,1,7.3
2013,La Liga,Athletic Club,Iker Muniain Athletic Club/21/AM(CLR) ,Iker Muniain,20,AM(CLR) ,169,63,32(3),35,32,3,2742,7,3,6,-,1.5,82.9,0.3,1,7.24
2013,La Liga,Athletic Club,Aymeric Laporte Athletic Club/20/D(CL) ,Aymeric Laporte,19,D(CL) ,189,85,33(2),35,33,2,2954,2,-,4,1,0.9,81.8,2.5,2,7.21
2013,La Liga,Athletic Club,Ander Iturraspe Athletic Club/25/DM(C) ,Ander Iturraspe,24,DM(C) ,187,74,31(2),33,31,2,2712,-,3,8,-,0.4,81.4,3.2,2,7.16
2013,La Liga,Athletic Club,Markel Susaeta Athletic Club/26/AM(CLR) ,Markel Susaeta,25,AM(CLR) ,179,67,34(4),38,34,4,2997,6,12,1,-,1.2,78.9,0.4,2,7.14
2013,La Liga,Athletic Club,Mikel Balenziaga Athletic Club/26/D(L) ,Mikel Balenziaga,25,D(L) ,177,76,31,31,31,0,2675,-,-,4,-,0.2,72.3,1.1,2,7.09
2013,La Liga,Athletic Club,Mikel San José Athletic Club/25/D(C)^DM(C) ,Mikel San José,24,D(C)^DM(C) ,186,77,19(6),25,19,6,1799,5,1,6,-,0.8,77.8,2.2,3,7.04
2013,La Liga,Athletic Club,Ibai Gómez Athletic Club/24/AM(L) ,Ibai Gómez,23,AM(L) ,177,72,6(12),18,6,12,688,8,2,-,-,2.6,75.3,-,-,6.94
2013,La Liga,Athletic Club,Andoni Iraola Athletic Club/32/D(R) ,Andoni Iraola,31,D(R) ,182,75,28(6),34,28,6,2622,1,4,3,-,0.4,78.9,0.8,1,6.88
2013,La Liga,Athletic Club,Mikel Rico Athletic Club/29/M(C) ,Mikel Rico,28,M(C) ,178,76,31(3),34,31,3,2611,5,1,7,-,0.8,78.6,0.9,-,6.82
2013,La Liga,Athletic Club,Xabier Etxeita Athletic Club/26/D(C) ,Xabier Etxeita,25,D(C) ,185,80,2(1),3,2,1,185,-,-,-,-,-,74,2.7,-,6.77
2013,La Liga,Athletic Club,Gorka Iraizoz Athletic Club/33/GK ,Gorka Iraizoz,32,GK ,191,87,33,33,33,0,2926,-,-,-,-,-,52.7,0.3,-,6.72
2013,La Liga,Athletic Club,Kike Sola Athletic Club/28/FW ,Kike Sola,27,FW ,185,82,2(3),5,2,3,226,1,-,-,-,1.4,61.5,2.2,-,6.72
2013,La Liga,Athletic Club,Enric Saborit Athletic Club/22/D ,Enric Saborit,21,D ,186,72,2(3),5,2,3,192,-,-,1,-,0.4,85.2,3.2,-,6.7
2013,La Liga,Athletic Club,Óscar De Marcos Athletic Club/25/D(LR)^M(CLR) ,Óscar De Marcos,24,D(LR)^M(CLR) ,180,76,19(16),35,19,16,1964,5,2,3,-,0.9,72.5,0.9,-,6.64
2013,La Liga,Athletic Club,Iago Herrerín Athletic Club/26/GK ,Iago Herrerín,25,GK ,187,90,5(1),6,5,1,495,-,-,1,-,-,61.5,0.7,-,6.61
2013,La Liga,Athletic Club,Beñat Athletic Club/27/M(C) ,Beñat,26,M(C) ,175,72,12(11),23,12,11,1029,1,3,4,-,0.7,83.3,0.4,-,6.56
2013,La Liga,Athletic Club,Guillermo Athletic Club/21/FW ,Guillermo,20,FW ,181,74,4(5),9,4,5,324,1,-,-,-,1.4,65.2,1.9,-,6.34
2013,La Liga,Athletic Club,Gaizka Toquero Athletic Club/30/AM(CR)^FW ,Gaizka Toquero,29,AM(CR)^FW ,182,78,5(15),20,5,15,583,-,1,4,-,0.9,56.7,1.6,-,6.3
2013,La Liga,Athletic Club,Erik Morán Athletic Club/23/DM(C) ,Erik Morán,22,DM(C) ,187,74,4(10),14,4,10,586,-,-,3,1,0.3,82.5,0.9,-,6.22
2013,La Liga,Athletic Club,Unai Albizua Athletic Club/25/D ,Unai Albizua,24,D ,181,79,0(4),4,0,4,34,-,-,-,-,-,66.7,0.3,-,6.2
2013,La Liga,Athletic Club,Borja Ekiza Athletic Club/26/D(C) ,Borja Ekiza,25,D(C) ,180,73,1,1,1,0,39,-,-,-,-,-,90.5,-,-,6.13
2013,La Liga,Sevilla,Ivan Rakitic Sevilla/26/M(C) ,Ivan Rakitic,25,M(C) ,184,75,29(5),34,29,5,2705,12,10,7,-,2.4,79.7,1.2,6,7.61
2013,La Liga,Sevilla,Federico Fazio Sevilla/27/D(C)^DM(C) ,Federico Fazio,26,D(C)^DM(C) ,195,85,27,27,27,0,2389,2,1,8,-,0.6,77.1,4.4,1,7.41
2013,La Liga,Sevilla,Stéphane Mbia Sevilla/28/D(C)^DM(C) ,Stéphane Mbia,27,D(C)^DM(C) ,189,82,18(1),19,18,1,1530,3,4,6,1,1.1,83.5,1.9,-,7.22
2013,La Liga,Sevilla,Vicente Iborra Sevilla/26/DM(C) ,Vicente Iborra,25,DM(C) ,195,88,25(2),27,25,2,2136,3,2,11,1,0.9,76.9,4,2,7.18
2013,La Liga,Sevilla,Daniel Carriço Sevilla/26/D(C)^DM(C) ,Daniel Carriço,25,D(C)^DM(C) ,180,80,22,22,22,0,1941,2,-,8,-,0.8,80.4,2.2,2,7.17
2013,La Liga,Sevilla,Coke Sevilla/27/D(R) ,Coke,26,D(R) ,176,72,23(2),25,23,2,2081,3,1,7,-,0.9,77,1.9,3,7.07
2013,La Liga,Sevilla,Cotán Sevilla/19/M ,Cotán,18,M ,176,67,2,2,2,0,180,-,-,1,-,-,90.3,2,-,7.06
2013,La Liga,Sevilla,Javi Varas Sevilla/32/GK ,Javi Varas,31,GK ,182,73,5(1),6,5,1,495,-,-,-,-,-,55.9,0.3,1,7
2013,La Liga,Sevilla,Vitolo Sevilla/24/AM(LR) ,Vitolo,23,AM(LR) ,184,79,25(4),29,25,4,2208,4,6,6,-,1.2,80.6,0.6,1,6.99
2013,La Liga,Sevilla,Carlos Bacca Sevilla/28/FW ,Carlos Bacca,27,FW ,181,77,27(8),35,27,8,2331,14,5,4,-,1.9,67,1.1,3,6.99
2013,La Liga,Sevilla,Alberto Moreno Sevilla/22/D(L)^M(L) ,Alberto Moreno,21,D(L)^M(L) ,170,65,27(2),29,27,2,2418,3,-,5,1,0.8,78.9,0.9,2,6.92
2013,La Liga,Sevilla,Nico Pareja Sevilla/30/D(C) ,Nico Pareja,29,D(C) ,181,74,23(2),25,23,2,1972,-,1,4,-,0.2,78,2.6,-,6.89
2013,La Liga,Sevilla,Reyes Sevilla/31/AM(CLR) ,Reyes,30,AM(CLR) ,176,72,15(6),21,15,6,1204,-,6,5,-,1.1,68.7,0.5,-,6.81
2013,La Liga,Sevilla,Diego Perotti Sevilla/26/AM(CLR) ,Diego Perotti,25,AM(CLR) ,179,70,3(7),10,3,7,404,1,1,2,-,1.1,86.4,0.2,-,6.79
2013,La Liga,Sevilla,Kevin Gameiro Sevilla/27/FW ,Kevin Gameiro,26,FW ,178,72,20(15),35,20,15,1900,15,3,2,-,1.5,78.2,0.2,3,6.77
2013,La Liga,Sevilla,Beto Sevilla/32/GK ,Beto,31,GK ,182,81,33,33,33,0,2927,-,-,3,-,-,55.9,0.4,1,6.76
2013,La Liga,Sevilla,Fernando Navarro Sevilla/32/D(CL) ,Fernando Navarro,31,D(CL) ,176,70,21(3),24,21,3,1929,-,-,5,-,-,75.2,1.5,-,6.76
2013,La Liga,Sevilla,Cala Sevilla/24/D(C) ,Cala,23,D(C) ,180,76,9,9,9,0,781,1,-,5,2,0.8,77.4,2,-,6.71
2013,La Liga,Sevilla,Diogo Figueiras Sevilla/23/D(R) ,Diogo Figueiras,22,D(R) ,168,64,19(3),22,19,3,1785,1,1,8,1,0.8,71.6,0.5,-,6.7
2013,La Liga,Sevilla,Marko Marin Sevilla/25/AM(CLR)^FW ,Marko Marin,24,AM(CLR)^FW ,170,64,10(8),18,10,8,950,-,4,3,-,0.9,84.5,0.1,-,6.66
2013,La Liga,Sevilla,Jairo Sevilla/21/AM(LR) ,Jairo,20,AM(LR) ,170,65,16(9),25,16,9,1388,4,2,3,1,1.1,64.5,0.5,2,6.55
2013,La Liga,Sevilla,Sebastián Cristóforo Sevilla/21/DM(C) ,Sebastián Cristóforo,20,DM(C) ,173,70,4(8),12,4,8,528,-,1,3,-,0.2,88.3,0.4,-,6.53
2013,La Liga,Sevilla,Geoffrey Kondogbia Sevilla/21/DM(C) ,Geoffrey Kondogbia,20,DM(C) ,188,80,0(2),2,0,2,90,-,-,2,-,0.5,93.2,0.5,-,6.47
2013,La Liga,Sevilla,Carlos Fernández Sevilla/18/FW ,Carlos Fernández,17,FW ,188,77,2(2),4,2,2,207,-,-,-,-,0.8,68.8,1.5,-,6.44
2013,La Liga,Sevilla,Bryan Rabello Sevilla/20/M ,Bryan Rabello,19,M ,163,60,2(4),6,2,4,207,-,-,-,-,0.8,81.5,0.2,-,6.33
2013,La Liga,Sevilla,Piotr Trochowski Sevilla/30/M(CLR) ,Piotr Trochowski,29,M(CLR) ,169,72,9(9),18,9,9,852,-,1,2,-,0.5,81.3,0.4,-,6.33
2013,La Liga,Sevilla,Raul Rusescu Sevilla/26/FW ,Raul Rusescu,25,FW ,180,73,0(1),1,0,1,6,-,-,-,-,3,100,-,-,6.25
2013,La Liga,Sevilla,Denis Cheryshev Sevilla/23/AM(L) ,Denis Cheryshev,22,AM(L) ,179,74,1(3),4,1,3,92,-,-,1,1,0.8,72.2,0.8,-,6.22
2013,La Liga,Sevilla,Israel Puerto Sevilla/21/D ,Israel Puerto,20,D ,187,74,0(3),3,0,3,38,-,-,-,-,-,96.9,-,-,6.19
2013,La Liga,Sevilla,Moi Sevilla/20/D ,Moi,19,D ,0,0,1(1),2,1,1,93,-,-,-,-,0.5,84.8,-,-,6.15
2013,La Liga,Sevilla,Mode Sevilla/20/D ,Mode,19,D ,0,0,0(1),1,0,1,16,-,-,-,-,-,100,-,-,6.09
2013,La Liga,Villarreal,Bruno Villarreal/30/M(C) ,Bruno14231,29,M(C) ,179,70,35(1),36,35,1,3034,6,2,5,1,1,85.6,2.2,2,7.27
2013,La Liga,Villarreal,Mateo Musacchio Villarreal/24/D(C) ,Mateo Musacchio,23,D(C) ,180,73,32,32,32,0,2845,1,2,4,-,0.4,79.5,2.1,2,7.26
2013,La Liga,Villarreal,Gabriel Paulista Villarreal/23/D(C) ,Gabriel Paulista,22,D(C) ,185,72,17(1),18,17,1,1543,-,-,4,1,0.4,82.7,2.6,-,7.22
2013,La Liga,Villarreal,Bojan Jokic Villarreal/28/D(L)^M(L) ,Bojan Jokic,27,D(L)^M(L) ,176,75,14(1),15,14,1,1281,-,1,6,-,0.3,78.6,1.3,1,7.12
2013,La Liga,Villarreal,Mario Villarreal/23/D(R) ,Mario79909,22,D(R) ,178,71,36,36,36,0,3240,1,1,4,-,0.8,77.7,1.4,2,7.11
2013,La Liga,Villarreal,Giovani dos Santos Villarreal/25/AM(CLR)^FW ,Giovani dos Santos,24,AM(CLR)^FW ,179,71,26(5),31,26,5,2227,11,8,2,-,2,78.2,0.2,4,7.09
2013,La Liga,Villarreal,Cani Villarreal/33/AM(CLR) ,Cani,32,AM(CLR) ,180,75,24(2),26,24,2,2024,3,5,4,-,1.2,72.1,0.5,3,7.09
2013,La Liga,Villarreal,Jaume Costa Villarreal/26/D(L) ,Jaume Costa,25,D(L) ,171,66,26(4),30,26,4,2458,1,1,12,-,0.5,77.5,0.9,-,6.97
2013,La Liga,Villarreal,Ikechukwu Uche Villarreal/30/AM(R)^FW ,Ikechukwu Uche,29,AM(R)^FW ,175,71,19(11),30,19,11,1766,14,1,3,1,1.5,71.8,1.5,3,6.95
2013,La Liga,Villarreal,Manu Trigueros Villarreal/23/M(C) ,Manu Trigueros,22,M(C) ,178,70,23(12),35,23,12,2102,2,2,6,-,1.1,81.3,1.1,1,6.88
2013,La Liga,Villarreal,Moi Gómez Villarreal/20/M(LR) ,Moi Gómez,19,M(LR) ,179,72,15(4),19,15,4,1261,2,3,-,-,1.4,77.4,0.7,-,6.82
